timestamps,#packets,#bytes,#unique_IP_sources,#unique_IP_destinations
1552903200,32081937.7, 1509996946.1,519500.78333333,12525893.766667
1552906800,34642129.4, 1658462758.5,528252.08333333,12410189.233333
1552910400,34645358.983333, 1592558687.2333,544622.48333333,12667475.566667
1552914000,32526635.9, 1533050435.5667,559469.11666667,12645500.683333
1552917600,31366241.7, 1441826330.2333,562522.68333333,12490088.283333
1552921200,34907963.35, 1528168587.3,548171.58333333,13011806.75
1552924800,31018543.666667, 1431054141.3667,539515.18333333,12364867.016667
1552928400,31241965.816667, 1598712459.8,517066.81666667,12444543.383333
1552932000,33526882.85, 1760058524.0833,496044.61666667,12853729.766667
1552935600,31549153.85, 1596386541.8333,469611.23333333,12641924.283333
1552939200,31436515.45, 1701261116.6667,445565.6,12626516.85
1552942800,31238982.65, 1562013521.2,431663.48333333,12632202.033333
1552946400,28931170.316667, 1375460275.3333,422699.85,12281711.15
1552950000,29960779.316667, 1458412356.9667,417964.48333333,12498437.35
1552953600,34111452.8, 1598999690.4667,426125.76666667,12741730.7
1552957200,33905041.483333, 1590179946.9333,455274.6,12598381.933333
1552960800,33464155.316667, 1678532954.7833,468890.21666667,12845227.75
1552964400,31959050.066667, 1733008625.45,480081.18333333,12741461.883333
1552968000,31258055.366667, 1607761980.4167,498157.55,12578961.666667
